,AutoGluon,AutoSklearn,CatBoost,EBM,LightGBM,XGBoost
dataset_1049_pc4,7.4650621267999995,125.3723219724,0.6454706460000004,2.8096132827999996,0.38304616340000025,0.1748665727999999
dataset_1050_pc3,6.2964131766,126.531381553,0.6537286333999994,4.137239672999987,0.1390761344000005,0.11115394740000006
dataset_1063_kc2,6.935362198200001,121.2743699424,0.15876278020000037,1.8362698319999993,0.08287290679999977,0.050550937800000285
dataset_1068_pc1,5.268038439999999,122.8951110384,0.3645665144000006,2.5569207161999996,0.13846440780000044,0.14378522540000063
dataset_11_balance-scale,7.8323576471999985,120.50368837719998,0.05035789199999989,9.10858044,0.19473318999999983,0.16884222819999906
dataset_12_mfeat-factors,87.1749396278,121.6714108682,14.739310897999996,1304.6357172922003,8.517164887999991,1.206393616199999
dataset_1462_banknote-authentication,5.735395073399999,122.6193106734,0.1369892688,12.9504593494,0.1541964960000005,0.0429811823999998
dataset_1464_blood-transfusion-service-center,5.4484805069999975,123.05619799319997,0.13664697799999956,0.9296779438000016,0.06478345359999978,0.06023634460000053
dataset_1468_cnae-9,20.557406248599996,122.4796530654,2.0121397024000003,0.5134076876216166,0.27122794839999964,6.813103598000009
dataset_1480_ilpd,6.1757828272,121.8353615334,0.2498728885999995,1.7950929282000003,0.13278613620000002,0.05242444299999995
dataset_1494_qsar-biodeg,8.864305434199999,122.54404772420003,0.585907549400001,4.975007192000001,0.20227942060000004,0.17277916399999996
dataset_1501_semeion,45.5878345934,124.8966886368,20.576469146,332.07395290939996,2.9419853483999985,1.8207012713999986
dataset_1510_wdbc,7.268314393600001,121.16034437799999,0.4960566176,6.736109775200004,0.09047775619999995,0.045058358000000354
dataset_15_breast-w,6.324149835199999,602.6617054298001,0.32159833739999966,1.520950365599998,0.049802785999999696,0.02901414500000037
dataset_188_eucalyptus,7.4018629074,124.11121527600002,0.7040961354000018,1.4705271840000005,0.47313067380000007,0.16384312299999948
dataset_23381_dresses-sales,6.5597070812,602.2041076285999,0.07147660900000012,3.6606352696000157,0.07361743059999952,0.13581371879999934
dataset_23_cmc,9.920169467399997,123.98470511340001,0.8754188871999986,0.7682601972,0.2605786632000001,0.1567308916000009
dataset_29_credit-approval,7.4603225582,603.7900132294001,0.6035513396000013,3.4179735881999873,0.13015893419999963,0.05306887379999949
dataset_307_vowel,23.053860231799998,122.38627052379998,1.132588035800002,2.1376610795999964,1.3417045157999972,0.6776321721999992
dataset_31_credit-g,5.460851099799999,605.8481275232,0.24815964459999904,4.32236397100001,0.2056432909999991,0.07334476319999972
dataset_37_diabetes,5.4613568161999995,604.0387875226,0.09974739939999999,2.7633647212,0.06383949159999958,0.05614884019999948
dataset_40966_MiceProtein,34.131303673400005,120.34796722040001,6.325214499000003,4.943893774000003,3.7967663354000023,1.439282073800004
dataset_40975_car,9.411098733000001,122.6045335838,0.7045020804000004,8.135438470599999,0.4525529001999999,0.2583185646000004
dataset_40982_steel-plates-fault,18.624126457600003,121.53341745399999,2.038612191200002,3.6905794717999982,1.1060998410000011,0.8062279946000004
dataset_40994_climate-model-simulation-crashes,7.4332757272,606.7068921906,0.36401419919999967,42.53516522799999,0.16177817960000027,0.04713214360000038
dataset_458_analcatdata_authorship,11.708274475400003,118.65878887659998,0.44731238039999965,42.617874506599996,0.348970439799999,0.15772368199999995
dataset_469_analcatdata_dmft,6.3894994642,118.90739542380001,0.06457380420000014,1.5765360772000008,0.17639333179999994,0.2254419664000004
dataset_50_tic-tac-toe,5.472427836599999,603.5773862973999,0.49196163060000087,10.357988329000008,0.21168037719999902,0.08534045819999889
dataset_54_vehicle,7.849501513600001,120.78087271679999,0.27406042179999945,1.8528359940000005,0.31617491860000013,0.23601209279999935
dataset_6332_cylinder-bands,7.547580162600002,601.231156092,0.6263101944000006,6.578386997000007,0.057228208599999775,0.05483246520000016
