,AutoGluon,AutoSklearn,CatBoost,EBM,LightGBM,XGBoost
accuracy,0.8260 [0.7639-0.8882],0.8389 [0.7761-0.9018],0.8400 [0.7809-0.8991],0.8377 [0.7778-0.8977],0.8301 [0.7671-0.8931],0.8266 [0.7650-0.8883]
auc_ovo,0.8834 [0.8372-0.9297],0.8922 [0.8459-0.9385],0.8968 [0.8539-0.9397],0.8949 [0.8515-0.9384],0.8821 [0.8338-0.9303],0.8757 [0.8265-0.9250]
cross_entropy,0.4751 [0.3374-0.6128],0.7208 [0.5146-0.9271],0.4194 [0.2987-0.5402],0.3923 [0.2661-0.5185],0.5353 [0.3678-0.7028],0.4946 [0.3316-0.6577]
tuning_time,70.3559 [40.3337-100.3782],1260.4396 [873.2729-1647.6062],4.8977 [1.2002-8.5951],304.4263 [-125.5470-734.3996],2.9149 [1.1151-4.7147],2.6154 [0.6463-4.5845]
training_time,13.3606 [7.3894-19.3319],250.6738 [173.1768-328.1707],1.8733 [0.2594-3.4872],60.9136 [-25.8629-147.6901],0.7513 [0.1459-1.3567],0.5173 [0.0629-0.9717]
prediction_time,0.0349 [0.0189-0.0508],0.4585 [0.3459-0.5711],0.0048 [0.0014-0.0082],0.0049 [-0.0015-0.0112],0.0085 [0.0050-0.0119],0.0021 [0.0017-0.0025]
total_time,14.0703 [8.0659-20.0748],252.0870 [174.6536-329.5203],1.9007 [0.2761-3.5252],61.6089 [-25.1187-148.3365],0.7899 [0.1709-1.4090],0.5361 [0.0776-0.9946]
