,AutoGluon,AutoSklearn,CatBoost,EBM,LightGBM,XGBoost
dataset_1049_pc4,0.19989105290320613,0.3825261725396448,0.18174999945327172,0.18876570520298627,0.3520265658708219,0.25752147459300506
dataset_1050_pc3,0.26557410408922466,0.3707866636156637,0.2486571575472433,0.2533977239514353,0.3427049466871107,0.3347181984488019
dataset_1063_kc2,0.3628540210244572,0.3548071415176576,0.33683162016143575,0.3636464061388166,0.6163633674332826,0.49103308277797114
dataset_1068_pc1,0.6622198301495056,0.23347006691990085,0.19489412812649648,0.24266235081889648,0.4171535477026909,0.2985370174451548
dataset_11_balance-scale,0.410176884370211,0.4515351883491913,0.4167128625388049,0.09746594368077,0.3333699149263224,0.23955097550734167
dataset_12_mfeat-factors,0.19027943293605437,1.129046237627227,0.18411973526780087,0.10516448071860891,0.11621690592327502,0.13944619136144637
dataset_1462_banknote-authentication,0.030897130166470454,0.10362519879472216,0.02566091533309518,0.0009872816896438937,0.024482249419125433,0.030115141556825868
dataset_1464_blood-transfusion-service-center,0.48647836554673,0.4834326079673281,0.4938974479174732,0.49066992486480776,0.6977410378090967,0.636654444658254
dataset_1468_cnae-9,0.4168536957435463,1.4204056509305585,0.5838823988045858,0.6093462336984561,0.4268656551973383,0.4204759144482454
dataset_1480_ilpd,0.5223063878223642,0.5778301719316065,0.5620497827123538,0.5422307885646963,1.080654609030207,0.7536371335571967
dataset_1494_qsar-biodeg,0.37845034080032824,0.4618874209398376,0.3269050710997313,0.34178834447670675,0.45986008558564323,0.46131904226617
dataset_1501_semeion,0.5380963422334044,1.2560513850677342,0.39566234813921797,0.2071159883823599,0.23291887420745874,0.2785523165311218
dataset_1510_wdbc,0.25831198293960006,0.27225043633256474,0.10443363439317596,0.12381759846323175,0.17355210336664828,0.11638941560574004
dataset_15_breast-w,0.1759475320901084,0.21345485019367855,0.0826050592696829,0.15255705903906142,0.1571444395831763,0.10452165466991063
dataset_188_eucalyptus,1.08495685710097,1.247680538129356,0.8191175293399244,0.7895453150819879,1.2964177989405647,0.9758135654047575
dataset_23381_dresses-sales,1.1057200435685832,0.73895347814554,0.6743028101564297,0.6988366120720152,1.1322533082672546,1.309393058560738
dataset_23_cmc,1.0041593829677606,0.9870219617332303,0.9292419215027893,0.9347333423208027,1.1526175942904548,1.240316290177096
dataset_29_credit-approval,0.3829003683382345,0.4418466695180653,0.3092993569641665,0.348066600178385,0.6098203702147023,0.39876079740156706
dataset_307_vowel,0.30205493033011976,1.5474125654749336,0.4591224884169406,0.38621286662348975,0.2662186168456288,0.38474633516177714
dataset_31_credit-g,0.5603312098380457,0.5596996772193128,0.48398558666092734,0.4978832328288303,0.7965420578635998,0.6695513817295005
dataset_37_diabetes,0.5084411265897824,0.5704903563745155,0.48051483180671495,0.49132472481216116,0.8781331178589638,0.796385160027834
dataset_40966_MiceProtein,0.23717965064873486,1.06748538014677,0.2868064407141805,0.08580190998689882,0.09258581947801128,0.20592903262633472
dataset_40975_car,0.16611909824544618,0.5073031317480194,0.21833905954533517,0.17568633826528463,0.09805517290568375,0.11901923425921608
dataset_40982_steel-plates-fault,0.7524090319402525,1.4824819766848438,0.5895272118924882,0.6313763202833881,0.628078478804069,0.6026122698713309
dataset_40994_climate-model-simulation-crashes,0.16013334635617887,0.15309594208708488,0.17169400771269508,0.20958492529870795,0.27308057818854975,0.17798434431297583
dataset_458_analcatdata_authorship,0.03894023843544002,0.32510643379616494,0.21739740965133092,0.006934907161440058,0.03022183819923311,0.060668336185647764
dataset_469_analcatdata_dmft,1.8418197320309762,2.7745775760213514,1.7664133008426703,1.7633589619002918,2.1170901203967896,2.1478842855686677
dataset_50_tic-tac-toe,0.06500271286586098,0.11258558517712083,0.04657168991375504,0.06651875265055031,0.03373163105956866,0.05922674581592098
dataset_54_vehicle,0.6663801259373497,0.8637693793123553,0.5819132023943083,0.5119385123870994,0.6990483325891034,0.611545065511278
dataset_6332_cylinder-bands,0.4775753309861299,0.5334584096790039,0.4108966497055522,0.4516317831124831,0.5244331513355184,0.5165535683625786
